"topic","id"
"Nonalcoholic Steatohepatitis","5e360722-a985-4ae5-988e-de9e7d54d912"
"On this page:","d04f5e59-1652-4242-ae06-e8897833cc16"
"Diagnosis","8d09e8e9-705d-45e6-a71c-e0756122df82"
"Symptoms","98a01096-26b7-4237-9297-651f9c6c11f1"
"Causes","53e8b4f2-72d6-46b2-808a-1bdd392e0739"
"Treatment","35faefc4-dd60-4a45-b345-6d0dffaba9c0"
"Hope through Research","9a8dbd51-a125-414d-bc41-adba289855a3"
"Points to Remember","49cd2073-b952-4629-9a2e-bd46a946fbb2"
"For More Information","d0e65cc5-c66e-437c-ab68-8c03ab1df522"
"American Liver Foundation","d76a0ed9-e5be-4092-bc3a-ae5b7c6ba09a"
"National Digestive Diseases Information Clearinghouse","70583f6c-39bc-48bf-9eba-8874bad985a2"
"Short Bowel Syndrome","85d37950-9603-4168-9ea7-5c67a316a80c"
"On this page:","47885bc6-7768-4216-8e43-850bf9b5b161"
"What is short bowel syndrome?","221b09de-c8e3-4f2a-8344-f211eac7885c"
"What causes short bowel syndrome?","76a254cd-5a4f-40dc-a4d3-e10bb358cf18"
"What are the signs and symptoms of short bowel syndrome?","758c46d0-d786-4472-b4db-2aca9e9ba24d"
"How is short bowel syndrome treated?","d979c6e3-f890-45b7-aa8d-ac46d702619d"
"What is intestinal adaptation?","1dee8822-3551-4f9b-95e8-3e2246642244"
"Points to Remember","4be6738f-789f-4107-9520-fd4216ad9588"
"Hope through Research","c4c2c8af-5740-4424-9d87-b54b174bde8e"
"For More Information","06f29d5a-4543-4241-b63f-fbbe2fd28793"
"Crohn's & Colitis Foundation of America","af5fbe02-987b-404b-831f-79f4031e373d"
"The Oley Foundation","a704d123-be0a-4e3a-9adb-d18beadf64fb"
"Acknowledgments","208493dc-a4fb-4a2e-b3f1-3fcf48d258d6"
"National Digestive Diseases Information Clearinghouse","d168692c-b715-4349-b39b-a73c467ce69b"
"Testing for Celiac Disease","92f6155a-e452-4528-a18f-7c1e6db7bb8e"
"On this page:","d3f0ffee-35f9-4e8c-9464-f090f74de182"
"Serologic Tests","c2461895-8af7-47e5-bf92-2880a3a45b10"
"tTG","26a313ff-ae61-4d3f-8b7c-5295cd68886b"
"EMA","5ca0cc01-5d1a-4190-9525-79eb2c376069"
"DGP","694f8184-ff9a-4dfc-9c50-6c7eae14623c"
"IgA Deficiency","38986d00-934b-4b18-9e16-7243e55ad750"
"Genetic Screening Tests","e78b4f73-23f8-4b30-aeb1-0d0a2bfb68b0"
"References","724c87c9-c1ce-4b9c-9f52-64ef73644494"
"Acknowledgments","c0e5cfbf-71ba-4901-b3cc-7ce870d43745"
"The Celiac Disease Awareness Campaign","d1752309-7b60-4552-9289-96099ef1125e"
"Celiac Disease Awareness Campaign","3f7ce55c-66b4-4727-836c-03e730eca0fa"
"Dermatitis Herpetiformis: Skin Manifestation of Celiac Disease","6d4895d9-a6d9-430e-b4b0-56cb9b5d8d8f"
"On this page:","aaa9b6f3-b63c-4c06-a258-851e4063a388"
"Symptoms","2164a0b1-0344-4a5f-8fdd-8cc542dfa385"
"Causes","e9d9ed62-41c2-4f7a-9247-fa5a14303e9e"
"Diagnosis","1ec48ac3-ee7f-4a54-999f-506344b0bce3"
"Treatment","6741cb44-2210-4182-81b9-6ca53f7eda67"
"References","8ed2dbbe-e2fe-439a-b51e-1db7352156c2"
"","76b4db28-73d9-4204-bb45-0f8d0199a613"
